PhraseId	SentenceId	Phrase	Sentiment
1609	60	Transforms one of -LRB- Shakespeare 's -RRB- deepest tragedies into a smart new comedy .	3.0
1610	60	Transforms one of -LRB- Shakespeare 's -RRB- deepest tragedies into a smart new comedy	3.0
1628	61	The screenplay by James Eric , James Horton and director Peter O'Fallon ... is so pat it makes your teeth hurt .	1.0
1629	61	The screenplay by James Eric , James Horton and director Peter O'Fallon	2.0
1659	62	But arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us .	3.0
1660	62	arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us .	3.0
1672	62	, it offers flickering reminders of the ties that bind us .	2.0
1673	62	it offers flickering reminders of the ties that bind us .	2.0
1687	63	Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and the action scenes are poorly delivered .	1.0
1688	63	Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and the action scenes are poorly delivered	0.0
1689	63	Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and	0.0
1690	63	Its generic villains lack any intrigue -LRB- other than their funny accents -RRB-	1.0
1716	64	The characters are more deeply thought through than in most ` right-thinking ' films .	3.0
1718	64	are more deeply thought through than in most ` right-thinking ' films .	2.0
1719	64	are more deeply thought through than in most ` right-thinking ' films	3.0
1735	65	The film , despite the gratuitous cinematic distractions impressed upon it , is still good fun .	3.0
1736	65	, despite the gratuitous cinematic distractions impressed upon it , is still good fun .	3.0
1737	65	despite the gratuitous cinematic distractions impressed upon it , is still good fun .	3.0
1755	66	Downright transparent is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .	0.0
1759	66	is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .	0.0
1760	66	is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating	0.0
1761	66	is the script 's endless assault of embarrassingly ham-fisted sex jokes	0.0
1777	66	that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating	1.0
1778	66	reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating	1.0
1783	66	rewrite designed to garner the film a `` cooler '' PG-13 rating	2.0
1785	66	designed to garner the film a `` cooler '' PG-13 rating	2.0
1799	67	A smart , provocative drama that does the nearly impossible : It gets under the skin of a man we only know as an evil , monstrous lunatic .	4.0
1800	67	A smart , provocative drama that does the nearly impossible : It gets under the skin of a man we only know as an evil , monstrous lunatic	4.0
1801	67	A smart , provocative drama that does the nearly impossible :	4.0
1815	67	It gets under the skin of a man we only know as an evil , monstrous lunatic	2.0
1816	67	gets under the skin of a man we only know as an evil , monstrous lunatic	1.0
1818	67	under the skin of a man we only know as an evil , monstrous lunatic	1.0
1820	67	the skin of a man we only know as an evil , monstrous lunatic	2.0
1823	67	of a man we only know as an evil , monstrous lunatic	1.0
1824	67	a man we only know as an evil , monstrous lunatic	2.0
1846	69	is many things -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all it 's a love story as sanguine as its title .	3.0
1847	69	is many things -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all	2.0
1848	69	is many things -- stoner midnight flick , sci-fi deconstruction , gay fantasia --	1.0
1849	69	many things -- stoner midnight flick , sci-fi deconstruction , gay fantasia --	2.0
1853	69	-- stoner midnight flick , sci-fi deconstruction , gay fantasia --	1.0
1872	69	it 's a love story as sanguine as its title .	2.0
1883	70	A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .	3.0
1884	70	A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then	3.0
1889	70	about two skittish New York middle-agers who stumble into a relationship and then	2.0
1890	70	two skittish New York middle-agers who stumble into a relationship and then	2.0
1918	71	But it has an ambition to say something about its subjects , but not a willingness .	1.0
1919	71	it has an ambition to say something about its subjects , but not a willingness .	2.0
1920	71	has an ambition to say something about its subjects , but not a willingness .	1.0
1921	71	has an ambition to say something about its subjects , but not a willingness	2.0
1922	71	an ambition to say something about its subjects , but not a willingness	2.0
1923	71	an ambition to say something about its subjects , but not	2.0
1938	72	-LRB- Scherfig -RRB- has made a movie that will leave you wondering about the characters ' lives after the clever credits roll .	3.0
1942	72	has made a movie that will leave you wondering about the characters ' lives after the clever credits roll .	3.0
1943	72	has made a movie that will leave you wondering about the characters ' lives after the clever credits roll	4.0
1944	72	made a movie that will leave you wondering about the characters ' lives after the clever credits roll	4.0
1945	72	a movie that will leave you wondering about the characters ' lives after the clever credits roll	3.0
1947	72	that will leave you wondering about the characters ' lives after the clever credits roll	3.0
1948	72	will leave you wondering about the characters ' lives after the clever credits roll	3.0
1950	72	leave you wondering about the characters ' lives after the clever credits roll	2.0
1951	72	you wondering about the characters ' lives after the clever credits roll	4.0
1952	72	wondering about the characters ' lives after the clever credits roll	3.0
1973	74	Reeks of rot and hack work from start to finish .	2.0
1984	75	Plays like a series of vignettes -- clips of a film that are still looking for a common through-line .	1.0
1985	75	Plays like a series of vignettes -- clips of a film that are still looking for a common through-line	2.0
1992	75	clips of a film that are still looking for a common through-line	1.0
1994	75	of a film that are still looking for a common through-line	1.0
2013	77	The major problem with Windtalkers is that the bulk of the movie centers on the wrong character .	1.0
2020	77	is that the bulk of the movie centers on the wrong character .	2.0
2021	77	is that the bulk of the movie centers on the wrong character	2.0
2022	77	that the bulk of the movie centers on the wrong character	1.0
2034	78	Swimfan , like Fatal Attraction , eventually goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub .	2.0
2042	78	eventually goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub .	1.0
2044	78	goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub .	0.0
2045	78	goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub	2.0
2049	78	with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub	1.0
2050	78	a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub	1.0
2057	78	in which a high school swimming pool substitutes for a bathtub	1.0
2071	79	This is a heartfelt story ... it just is n't a very involving one .	1.0
2072	79	This is a heartfelt story ... it just is n't a very involving one	1.0
2087	80	An unsettling , memorable cinematic experience that does its predecessors proud .	4.0
2102	81	All in all , it 's a pretty good execution of a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own .	3.0
2105	81	, it 's a pretty good execution of a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own .	3.0
2106	81	it 's a pretty good execution of a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own .	4.0
2107	81	's a pretty good execution of a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own .	3.0
2108	81	's a pretty good execution of a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own	3.0
2109	81	a pretty good execution of a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own	4.0
2115	81	of a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own	4.0
2116	81	a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own	4.0
2117	81	that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own	3.0
2118	81	's a lot richer than the ones Hollywood action screenwriters usually come up with on their own	3.0
2142	82	Phillip Noyce and all of his actors -- as well as his cinematographer , Christopher Doyle -- understand the delicate forcefulness of Greene 's prose , and it 's there on the screen in their version of The Quiet American .	3.0
2143	82	Phillip Noyce and all of his actors -- as well as his cinematographer , Christopher Doyle -- understand the delicate forcefulness of Greene 's prose , and it 's there on the screen in their version of The Quiet American	3.0
2144	82	Phillip Noyce and all of his actors -- as well as his cinematographer , Christopher Doyle -- understand the delicate forcefulness of Greene 's prose , and	3.0
2145	82	Phillip Noyce and all of his actors -- as well as his cinematographer , Christopher Doyle -- understand the delicate forcefulness of Greene 's prose ,	3.0
2146	82	Phillip Noyce and all of his actors -- as well as his cinematographer , Christopher Doyle -- understand the delicate forcefulness of Greene 's prose	3.0
2147	82	Phillip Noyce and all of his actors -- as well as his cinematographer , Christopher Doyle --	2.0
2180	82	it 's there on the screen in their version of The Quiet American	2.0
2181	82	's there on the screen in their version of The Quiet American	2.0
2195	83	The Pianist lacks the quick emotional connections of Steven Spielberg 's Schindler 's List .	2.0
2198	83	lacks the quick emotional connections of Steven Spielberg 's Schindler 's List .	2.0
2199	83	lacks the quick emotional connections of Steven Spielberg 's Schindler 's List	1.0
2201	83	the quick emotional connections of Steven Spielberg 's Schindler 's List	3.0
2218	84	Inventive , fun , intoxicatingly sexy , violent , self-indulgent and maddening .	3.0
